BPL,ID HK,NQR,P/W,LN,Lernort,ID LK,Beschreibung LK,ID LFE,Handlungsnotwendiges Wissen,Abfolge,Lektionen,ID LZ,Beschreibung LZ,Taxonomie LZ,Semester,Note zu HKB
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,"Analog-Digital, Binärsystem, Spannung, Strom, logische Operationen, Wertetabelle",1,25,LZ_4242,Sie zeichnen Wertetabellen mit Eingangs- und Ausgangsvariablen auf.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_130,"Sie beschreiben die Grundverknüpfungen UND, ODER, NICHT, NAND, NOR und erkennen deren Symbole.",K2,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2224,Sie entwickeln kombinatorische Schaltungen.,K5,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2225,Sie wenden die grundlegenden Gesetze der Schaltalgebra an.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2226,Sie entwerfen und zeichnen logische Signalverknüpfungen.,K5,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_4255,Sie erläutern die digitalen Pegel der Schaltkreisfamilien.,K2,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_4256,Sie geben die wichtigsten Eigenschaften der aktuellen Schaltkreisfamilien wieder.,K1,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2229,Sie wenden arithmetische und logische Operationen am Byte sowie Halb- und Volladdierer an.,K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_4258,"Sie beschreiben Binär-, BCD-, Gray-Code, Unicode und ASCII-Code.",K2,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_27,"Sie stellen den Zusammenhang zwischen einer Funktionsgleichung, einer Wertetabelle und dem Graphen einer Funktion her.",K3,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_29,"Sie unterscheiden logische Grundfunktionen anhand des Symbols, der Wertetabelle, der Funktionsgleichung und des Zeitdiagrammes.",K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT1,,,,LZ_2223,"Sie nennen Beispiele von integrierten Schaltungen wie AND, OR, NOT.",K1,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_DT1,Grundkenntnisse Simulationstool,2,5,LZ_2230,Sie simulieren Grundschaltungen im digitalen Bereich.,K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_DT1,,,,LZ_2227,Sie analysieren und entwickeln einfache Logikschaltungen.,K4,1. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,"Digitale Grundfunktionen; FlipFlop als: 1Bit Speicher, Baustein für Zähler, Schieberegister",1,15,LZ_9041,Sie erklären die Grundfunktion einer einfachen Speicherschaltung mit Flipflops.,K2,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,,,,LZ_9042,Sie erklären die Funktion und unterscheiden taktzustands- und taktflankengesteuerter Flipflops.,K2,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,,,,LZ_9043,Sie setzen unterschiedliche Speicherschaltungen in einer digitalen Schaltung ein.,K3,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,,,,LZ_9044,Sie setzen zeitabhängige Monoflops/ Verzögerungsglieder in Schaltungen ein.,K3,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 07,Sie erarbeiten klassische Grundschaltungen.,LFB_El_DT2,,,,LZ_9045,Sie unterscheiden unterschiedliche Arten von Zählerbausteinen und setzen diese in digitalen Schaltungen ein.,K3,2. Sem.,1
ET,9999 b.01,NQR 4,P,LN 4,BFS,ET b1 08,Sie simulieren elektronische Schaltungen.,LFB_El_DT2,Grundkenntnisse Simulationstool,2,5,LZ_9039,Sie simulieren Schaltungen mit Flipflops.,K3,2. Sem.,1
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim1,"Herangehensweise an eine mathematische Problemstellung, Umstellen von Formeln, Umgang mit Einheiten",1,2,LZ_6957,Sie berechnen einfache Parallelschaltungen (maximal zwei Widerstände).,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim1,,,,LZ_1923,Sie vereinfachen schrittweise Netzwerke aus drei Widerständen und führen Berechnungen für gemischte Schaltungen durch.,K4,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim1,,,,LZ_44,Sie setzen Zahlen mit den entsprechenden Einheiten in vorgegebene Formeln ein und berechnen diese.,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 03,Sie wenden bei der Bearbeitung technischer Problemstellungen mathematische Konzepte an.,LFB_El_Dim1,,,,LZ_3115,Sie führen Berechnungen von SI-Einheiten und den gebräuchlichen Massvorsätzen aus.,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 01,"Sie planen ihre Arbeit unter Einbezug der Werkstoff-, Fertigungs- und Maschinentechnik und führen sie aus.",LFB_El_Dim1,"Physikalische Eigenschaften von Widerstandswerkstoffen, Verhalten bei Temperaturänderungen",2,1,LZ_3611,"Sie kennen Werkstoffe für elektrische Widerstände (darunter Draht-, Kohleschicht-, Metallschicht- und Metalloxydwiderstand) in Bezug auf spezifischem Widerstand, Temperaturkoeffizient und Langzeitstabilität.",K1,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 01,"Sie planen ihre Arbeit unter Einbezug der Werkstoff-, Fertigungs- und Maschinentechnik und führen sie aus.",LFB_El_Dim1,,,,LZ_1918,Sie berechnen die Änderung des Widerstands als Resultat der Temperaturveränderung.,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 02,Sie planen ihre Arbeit unter Einbezug naturwissenschaftlicher Aspekte und führen sie aus.,LFB_El_Dim1,Umgang mit Mess-/Prüfprotokollen,3,1,LZ_7857,Sie füllen die vorgegebenen Prüfprotokolle aus.,K3,1. Sem.,0
ET,9999 a.02,NQR 5,P,LN 3,BFS,MEM 08 02,Sie planen ihre Arbeit unter Einbezug naturwissenschaftlicher Aspekte und führen sie aus.,LFB_El_Dim1,,,,LZ_7995,Sie handhaben vorgegebene Prüfdokumente und dokumentieren die Prüfergebnisse im Prüfprotokoll.,K3,1. Sem.,0
